airline,date_of_journey,source,destination,dep_time,arrival_time,total_stops,additional_info,duration_min,price
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,12:35:00,1,In-flight meal not included,940,12898
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,16:20:00,1,No Info,1285,13044
Air India,2019-05-18,Delhi,Cochin,09:45:00,09:25:00,2,No Info,1420,10975
Indigo,2019-06-03,Mumbai,Hyderabad,21:20:00,22:50:00,0,No Info,90,2227
Jet Airways,2019-04-01,Mumbai,Hyderabad,02:55:00,04:20:00,0,No Info,85,5678
Air India,2019-06-06,Delhi,Cochin,10:00:00,19:15:00,1,No Info,555,9194
Indigo,2019-05-09,Delhi,Cochin,11:25:00,01:30:00,1,No Info,845,8330
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,04:25:00,2,No Info,1760,15129
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,10:05:00,1,No Info,1200,13044
Indigo,2019-06-09,Kolkata,Banglore,19:35:00,23:15:00,1,No Info,220,5276
Air India,2019-03-24,Mumbai,Hyderabad,19:30:00,20:45:00,0,No Info,75,2575
Goair,2019-03-24,Banglore,New Delhi,11:40:00,14:35:00,0,No Info,175,4340
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,04:25:00,1,In-flight meal not included,1570,7438
Indigo,2019-03-27,Delhi,Cochin,11:30:00,21:00:00,1,No Info,570,6416
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,12:00:00,1,In-flight meal not included,890,9663
Multiple Carriers,2019-06-15,Delhi,Cochin,10:00:00,01:30:00,1,No Info,930,8510
Indigo,2019-05-06,Chennai,Kolkata,05:15:00,07:40:00,0,No Info,145,3540
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,19:10:00,1,In-flight meal not included,575,12384
Indigo,2019-03-09,Banglore,New Delhi,07:30:00,12:20:00,1,No Info,290,5694
Jet Airways,2019-06-01,Delhi,Cochin,18:25:00,12:35:00,2,No Info,1090,14237
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,08:15:00,1,No Info,735,14571
Air India,2019-06-18,Mumbai,Hyderabad,13:55:00,15:25:00,0,No Info,90,3100
Indigo,2019-06-18,Banglore,New Delhi,18:25:00,21:20:00,0,No Info,175,4823
Indigo,2019-03-12,Kolkata,Banglore,21:25:00,00:05:00,0,No Info,160,4148
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,18:15:00,1,No Info,590,12681
Jet Airways,2019-05-27,Delhi,Cochin,11:00:00,14:15:00,0,No Info,195,9564
Air India,2019-05-24,Kolkata,Banglore,12:00:00,18:30:00,2,No Info,1830,10151
Jet Airways,2019-05-09,Delhi,Cochin,15:00:00,19:00:00,1,In-flight meal not included,1680,12373
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,23:25:00,1,No Info,1625,9345
Jet Airways,2019-06-01,Mumbai,Hyderabad,07:05:00,08:30:00,0,No Info,85,5678
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,12:00:00,1,In-flight meal not included,330,7826
Air India,2019-05-21,Delhi,Cochin,05:00:00,07:40:00,2,No Info,1600,11806
Jet Airways,2019-06-21,Banglore,New Delhi,17:45:00,20:45:00,0,In-flight meal not included,180,7754
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,16:10:00,1,In-flight meal not included,1175,11087
Indigo,2019-05-09,Delhi,Cochin,04:55:00,21:00:00,1,No Info,965,6979
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,19:10:00,1,In-flight meal not included,1455,11087
Spicejet,2019-06-12,Kolkata,Banglore,11:35:00,18:50:00,1,No Info,435,8479
Air India,2019-05-12,Kolkata,Banglore,10:00:00,23:15:00,1,No Info,795,10203
Multiple Carriers,2019-05-21,Delhi,Cochin,08:45:00,19:00:00,1,No Info,615,9794
Spicejet,2019-05-24,Banglore,New Delhi,05:55:00,08:35:00,0,No check-in baggage included,160,3257
Spicejet,2019-05-03,Mumbai,Hyderabad,22:45:00,00:15:00,0,No Info,90,2227
Jet Airways,2019-03-27,Delhi,Cochin,15:05:00,04:25:00,1,In-flight meal not included,800,6017
Multiple Carriers,2019-05-15,Delhi,Cochin,15:00:00,01:30:00,1,No Info,630,13727
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,04:25:00,2,No Info,1125,15129
Multiple Carriers,2019-05-18,Delhi,Cochin,14:00:00,21:00:00,1,No Info,420,13727
Multiple Carriers,2019-06-06,Delhi,Cochin,08:00:00,21:00:00,1,No Info,780,13587
Indigo,2019-05-06,Kolkata,Banglore,04:40:00,07:15:00,0,No Info,155,4804
Jet Airways,2019-05-27,Banglore,New Delhi,07:10:00,10:10:00,0,No Info,180,7229
Air India,2019-03-03,Delhi,Cochin,06:10:00,23:00:00,1,No Info,1010,13002
Indigo,2019-06-12,Kolkata,Banglore,08:10:00,13:00:00,1,No Info,290,5069
Jet Airways,2019-05-21,Mumbai,Hyderabad,10:20:00,11:50:00,0,No Info,90,8040
